Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Ahri Meow,Leviathan [Primal],3271,100,,
2,Miyu Moon,Mateus [Crystal],3164,61,,5
3,Heavens Feel,Maduin [Dynamis],3135,127,78,6
4,Meteor Moon,Rafflesia [Dynamis],3053,108,,
5,Suhr Zarek,Balmung [Crystal],3047,247,,
6,J'heero Eshe,Lamia [Primal],2984,93,,
7,Seto Mimyho,Behemoth [Primal],2768,92,,3
8,Myu Meow,Leviathan [Primal],2755,303,88,14
9,Fulheart Grit,Balmung [Crystal],2619,155,,1
10,Original Dsi,Gilgamesh [Aether],2597,79,,11
11,Pekora Meow,Leviathan [Primal],2545,182,,6
12,Death Reaps,Balmung [Crystal],2512,85,,
13,Aerika Erys,Faerie [Aether],2502,45,401,4
14,Neo Dymium,Siren [Aether],2500,165,,
15,Akari Tsuki,Adamantoise [Aether],2492,84,194,15
16,Hrothmar Blackburns,Adamantoise [Aether],2473,221,198,6
17,Sabo Meow,Excalibur [Primal],2466,95,,
18,Dunkin Bonuts,Zalera [Crystal],2380,151,,
19,Aahaha Hahahahaha,Exodus [Primal],2321,121,,
20,Unagi Box,Cuchulainn [Dynamis],2300,163,,10
21,Barock Obama,Siren [Aether],2240,266,,11
22,Im Dead,Coeurl [Crystal],2237,115,,
23,Sylvie Chan,Brynhildr [Crystal],2200,80,,
24,Merlin Emryss,Faerie [Aether],2199,166,,8
25,Mtn Boop,Brynhildr [Crystal],2166,56,,
26,Kairi Rune,Hyperion [Primal],2161,131,,
27,Emi Meow,Siren [Aether],2135,81,,
28,Kasai Kage,Adamantoise [Aether],2114,136,,
29,Kitsu Katsu,Gilgamesh [Aether],2106,212,282,19
30,Raiden Meow,Halicarnassus [Dynamis],2092,87,,5
31,Air Azure,Rafflesia [Dynamis],2027,145,,
32,Tomo Kote,Gilgamesh [Aether],2018,91,,1
33,Seraphita Strahlven,Seraph [Dynamis],2016,298,,26
34,Kahlil Immortalis,Diabolos [Crystal],1989,95,407,9
35,La Bubu,Diabolos [Crystal],1988,85,97,1
36,Average Capybara,Seraph [Dynamis],1922,82,,5
37,Doomballoon Dapingus,Diabolos [Crystal],1915,109,,
38,Lucio Harundo,Leviathan [Primal],1909,170,,7
39,Uki Yo,Adamantoise [Aether],1908,101,,2
40,Bigg Spite,Coeurl [Crystal],1883,73,,6
41,Aki Fukuda,Hyperion [Primal],1861,90,,
42,Local-area Network,Cactuar [Aether],1813,46,,
43,Mavis Enyo,Excalibur [Primal],1808,125,300,8
44,Goemon Da-cat,Behemoth [Primal],1795,170,,7
45,Lean Bean,Leviathan [Primal],1707,188,,3
46,Rachna Rindou,Brynhildr [Crystal],1707,102,,
47,Emiya Shirou,Famfrit [Primal],1679,145,,1
48,Sea Jae,Sargatanas [Aether],1670,104,775,25
49,Micro Uryade,Sargatanas [Aether],1664,204,,2
50,Hatsune Freaku,Lamia [Primal],1610,40,,
51,Ham Baga,Balmung [Crystal],1602,100,,4
52,Ninety-nine Agility,Famfrit [Primal],1602,48,,7
53,Unknown O'juan,Maduin [Dynamis],1602,32,,
54,Moshe Di,Gilgamesh [Aether],1592,62,,
55,Big Three,Zalera [Crystal],1588,72,,
56,Thya Bowtail,Gilgamesh [Aether],1586,83,,
57,Jay Vermillion,Adamantoise [Aether],1584,51,,
58,Haha Unless,Faerie [Aether],1582,30,,
59,Josh Trigiani,Lamia [Primal],1580,200,,
60,Rex Gladio,Exodus [Primal],1577,239,,10
61,Sovereign Philia,Goblin [Crystal],1577,35,885,14
62,Rae Rea,Adamantoise [Aether],1497,37,,4
63,Suhr Zarek,Goblin [Crystal],1494,83,,
64,Silanah Sylphrena,Faerie [Aether],1480,63,,6
65,Kiki Valentina,Behemoth [Primal],1477,96,,
66,Milly Mina,Cuchulainn [Dynamis],1474,114,,3
67,Apocalus Van'zandt,Hyperion [Primal],1419,200,,2
68,Sanguinius Smolblood,Kraken [Dynamis],1417,73,195,6
69,Reliana Meriale,Halicarnassus [Dynamis],1398,232,,2
70,Azureal Grandeur,Marilith [Dynamis],1384,244,,11
71,Nikau Milkdud,Lamia [Primal],1381,46,698,8
72,Gojo San,Gilgamesh [Aether],1376,57,,
73,Leorex Fulguro,Sargatanas [Aether],1365,208,,10
74,Syhrtrachyn Roelohwyn,Cuchulainn [Dynamis],1308,205,,
75,Tiny Sosig,Balmung [Crystal],1305,92,,
