Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Ahri Meow,Leviathan [Primal],5893,306,0,0
2,Miyu Moon,Mateus [Crystal],4928,180,0,0
3,Pekora Meow,Leviathan [Primal],4870,511,0,0
4,Legendary Ash,Faerie [Aether],4798,204,0,0
5,Tomo Kote,Gilgamesh [Aether],4324,144,0,0
6,Uki Yo,Adamantoise [Aether],4215,338,0,0
7,Neo Dymium,Seraph [Dynamis],4199,525,0,0
8,Sylvie Chan,Brynhildr [Crystal],4017,122,0,0
9,Seto Mimyho,Behemoth [Primal],4008,224,0,0
10,Sparrow Hawk,Seraph [Dynamis],3964,353,0,0
11,Shion Valliere,Gilgamesh [Aether],3881,148,0,0
12,Crow Meow,Jenova [Aether],3833,109,0,0
13,Lucio Harundo,Leviathan [Primal],3773,679,0,4
14,Olivia Lugria,Sargatanas [Aether],3754,645,0,0
15,Fye Alanyk,Diabolos [Crystal],3714,654,0,2
16,Death Reaps,Balmung [Crystal],3625,663,0,2
17,Myu Meow,Leviathan [Primal],3573,300,0,0
18,Hrothmar Blackburns,Adamantoise [Aether],3439,985,0,5
19,Terro Beoulve,Coeurl [Crystal],3400,300,0,0
20,Tree Cat,Jenova [Aether],3379,117,0,0
21,Dea Jae,Balmung [Crystal],3355,158,0,0
22,Koifucius Dao-master,Exodus [Primal],3354,166,0,0
23,Sanahi Keto,Hyperion [Primal],3338,136,0,0
24,Akari Tsuki,Adamantoise [Aether],3326,137,0,1
25,Fulheart Grit,Balmung [Crystal],3322,349,0,7
26,Vestelle Sawyer,Gilgamesh [Aether],3280,92,0,0
27,Nero Cor,Cactuar [Aether],3277,922,0,0
28,Kasai Kage,Adamantoise [Aether],3258,230,0,0
29,Rae Rea,Adamantoise [Aether],3205,63,0,0
30,Onion Little,Zalera [Crystal],3189,195,0,0
31,Unagi Box,Cuchulainn [Dynamis],3187,505,0,0
32,Kahlil Immortalis,Diabolos [Crystal],3144,500,0,0
33,Emi Meow,Siren [Aether],3141,94,0,0
34,Sea Jae,Sargatanas [Aether],3138,103,0,0
35,Andros Meow,Leviathan [Primal],3110,137,0,0
36,Talon Sparda,Balmung [Crystal],3092,768,0,0
37,Mac Arena,Adamantoise [Aether],3086,57,0,0
38,Naomi Hakoma,Halicarnassus [Dynamis],3085,243,0,0
39,Shady Moon,Sargatanas [Aether],3072,100,0,0
40,Local-area Network,Cactuar [Aether],3070,105,0,0
41,Jet Vermillion,Adamantoise [Aether],3069,117,0,0
42,Wonton Noodle,Faerie [Aether],3066,79,0,0
43,Bigg Succ,Coeurl [Crystal],3065,246,0,0
44,Chocolate Mint,Mateus [Crystal],3064,122,0,0
45,Justa Noob,Goblin [Crystal],3064,119,0,0
46,Estinien's Paypal,Faerie [Aether],3063,92,0,0
47,Ren Astray,Adamantoise [Aether],3061,86,0,0
