Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Miyu Moon,Moogle [Chaos],4244,175,0,0
2,Cliffe Zanza,Spriggan [Chaos],4082,278,0,0
3,Saboree Catboy,Spriggan [Chaos],4081,470,0,0
4,Mamiyama Kamimama,Spriggan [Chaos],3895,153,0,0
5,Moki Moki,Odin [Light],3860,165,0,0
6,Crow Kaien,Zodiark [Light],3573,154,0,0
7,Lybel Alyborias,Louisoix [Chaos],3546,263,0,0
8,Scarlet Rose,Spriggan [Chaos],3460,311,0,0
9,Loty Coldwind,Twintania [Light],3408,313,0,0
10,Big Catfish,Cerberus [Chaos],3188,167,0,0
11,Akari Tsuki,Louisoix [Chaos],3136,181,0,0
12,Tsukuyo Ritlas,Odin [Light],3130,135,0,0
13,Lucy Lumi,Louisoix [Chaos],3095,499,0,0
14,Claire Hart,Ragnarok [Chaos],3083,106,0,0
15,Elohim Meth,Raiden [Light],3080,354,0,0
16,Brutal Killer,Raiden [Light],3077,72,0,0
17,Kal Maoi,Twintania [Light],3070,200,0,0
18,Not Marci,Louisoix [Chaos],3051,84,0,0
19,Blue Cat,Twintania [Light],3040,217,0,0
20,Tyra Kett,Spriggan [Chaos],2915,357,0,0
21,Miyu Edelfelt,Phoenix [Light],2912,300,0,0
22,Lex'ander Wayfarer,Odin [Light],2881,224,0,0
23,Cat Wife,Zodiark [Light],2832,128,0,0
24,Lylia Venis,Moogle [Chaos],2803,134,0,0
25,Raiden Thorne,Zodiark [Light],2736,102,0,0
26,Meryll Enetari,Cerberus [Chaos],2734,351,0,0
27,Tei Tei,Odin [Light],2632,292,0,0
28,Maarato Cookie,Twintania [Light],2596,147,0,0
29,Aura Sphere,Zodiark [Light],2544,304,0,0
30,Prisma Tic,Cerberus [Chaos],2484,107,0,0
31,Yamizura Kumozuma,Twintania [Light],2463,128,0,0
32,Vai Zol,Odin [Light],2386,170,0,0
33,Taiya Li,Phoenix [Light],2325,193,0,0
34,Toni Kroos,Twintania [Light],2295,186,0,0
35,Lhei Tayun,Zodiark [Light],2286,566,0,0
36,Shia Sun,Odin [Light],2266,141,0,0
37,Yun' Yun,Cerberus [Chaos],2221,432,0,0
38,Xen Thique,Odin [Light],2203,137,0,0
39,Ange Melrose,Omega [Chaos],2182,338,0,0
40,Zerodas Snow,Alpha [Light],2148,114,0,0
41,Thor Strom,Cerberus [Chaos],2066,194,0,0
42,Dragonlife Saijax,Moogle [Chaos],1993,45,0,0
43,Kure Kure,Ragnarok [Chaos],1960,163,0,0
44,Sunie Mochi,Twintania [Light],1915,375,0,0
45,Shimori Bunihara,Raiden [Light],1909,106,0,0
46,Misora Kaiatsa,Moogle [Chaos],1889,185,0,0
47,Sweet Light,Spriggan [Chaos],1884,90,0,0
48,Tarutella Goldfish,Phoenix [Light],1883,189,0,0
49,Aurora Maou,Louisoix [Chaos],1857,278,0,0
50,Kyouko Owo,Louisoix [Chaos],1760,96,0,0
51,William Sharpeye,Moogle [Chaos],1732,270,0,0
52,Luna Everlight,Phantom [Chaos],1709,48,0,0
53,Dalik Mathis,Ragnarok [Chaos],1699,196,0,0
54,Deadrise Mutombo,Ragnarok [Chaos],1695,69,0,0
55,Ase Dora,Alpha [Light],1691,162,0,0
56,Sice Seven,Moogle [Chaos],1690,40,0,0
57,Isca Mog,Zodiark [Light],1674,219,0,0
58,Two Koma,Zodiark [Light],1595,158,0,0
59,Alistair Astrea,Ragnarok [Chaos],1592,143,0,0
60,Holos Ymir,Cerberus [Chaos],1588,77,0,0
61,Imy Pure,Cerberus [Chaos],1580,115,0,0
62,Snap Ringer,Omega [Chaos],1576,86,0,0
63,Auelin Fae,Zodiark [Light],1576,43,0,0
64,Based Miqote,Twintania [Light],1570,249,0,0
65,Sal Ren,Phoenix [Light],1569,472,0,0
66,Mahou Mahou,Odin [Light],1530,262,0,0
67,Zot To,Cerberus [Chaos],1523,48,0,0
68,Tikka Masola,Zodiark [Light],1507,167,0,0
69,Limit Cat,Lich [Light],1502,104,0,0
70,Vanilla Blossom,Moogle [Chaos],1481,127,0,0
71,Pattinger Kersel,Raiden [Light],1479,281,0,0
72,Myst Freyja,Omega [Chaos],1476,94,0,0
73,Solla Sparco,Ragnarok [Chaos],1412,205,0,0
74,Chise Hatori',Ragnarok [Chaos],1411,353,0,0
75,Delzor Waka,Odin [Light],1391,224,0,0
76,Resilla Frostflow,Cerberus [Chaos],1390,147,0,0
77,Makoto Kurusu,Alpha [Light],1384,151,0,0
78,Endorel Soro,Alpha [Light],1382,197,0,0
79,Farnese Astrope,Odin [Light],1321,50,0,0
80,Tensei Kaiten,Raiden [Light],1312,554,0,0
81,Ny Aa,Zodiark [Light],1306,68,0,0
82,Kayf Xiv,Ragnarok [Chaos],1305,134,0,0
83,Sheidyn Windsor,Omega [Chaos],1304,193,0,0
84,Sotek Scherwil,Twintania [Light],1265,101,0,0
85,Strom Valentine,Cerberus [Chaos],1245,61,0,0
86,Mitsuki Mirai,Louisoix [Chaos],1237,132,0,0
87,Riseon Misha,Zodiark [Light],1209,233,0,0
88,Ten Gil,Louisoix [Chaos],1201,145,0,0
89,Melinoe Mei,Odin [Light],1186,294,0,0
90,Tay Talenath,Raiden [Light],1186,202,0,0
91,Lawr Hawk,Odin [Light],1161,169,0,0
92,Baka Bao,Phantom [Chaos],1149,471,0,0
93,Baby Starz,Omega [Chaos],1107,104,0,0
94,Magisa Vale,Phoenix [Light],1099,126,0,0
95,Kimbi Aoe,Shiva [Light],1097,63,0,0
96,Vyra Karbon,Alpha [Light],1094,85,0,0
97,Memento Mo'ri,Ragnarok [Chaos],1084,214,0,0
98,Khorasan Ataraxia,Shiva [Light],1080,220,0,0
99,Gella Zenhat,Cerberus [Chaos],1019,286,0,0
100,Shadow Aya,Zodiark [Light],1017,76,0,0
101,Furry Mommy,Phantom [Chaos],1012,199,0,0
102,Selin Naari,Cerberus [Chaos],1011,150,0,0
